ServerName,DatabaseName,DatabaseFileName,FileType,TimeDataCollected,CounterName,AggregatorType,Value
LEGACYSQL2012,TEAM02_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM02_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM02_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM02_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM03_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM03_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM03_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM03_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM04_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM04_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM04_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM04_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM05_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM05_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM05_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM05_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM06_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM06_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM06_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM06_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM07_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM07_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM07_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM07_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM08_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM08_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM08_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM08_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM09_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM09_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM09_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM09_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM10_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM10_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM10_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM10_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM11_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM11_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
LEGACYSQL2012,TEAM11_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Variance,0
LEGACYSQL2012,TEAM11_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Max,0.56
LEGACYSQL2012,TEAM12_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Mean,0.56
LEGACYSQL2012,TEAM12_LocalMasterDataDB,,,2021-11-15 12:01:00,DCS,Occurence,20
